V1	43631917	05-07-2021 12:05:12	0.0	0.0	0.0	null	null	null	null	null	null	null	null
V2	43631917	05-07-2021 12:07:49	25.501694915254237	4.590305084745762	30.092	null	null	null	null	null	null	null	null
V3	1452154	05-07-2021 12:11:09	17.83220338983051	3.2097966101694917	21.042	null	null	null	null	null	null	null	null
V4	32658714	07-07-2021 14:32:46	25.93305084745763	4.667949152542373	30.601	null	null	null	null	null	null	null	null
V5	87549812	07-07-2021 14:33:41	11.88813559322034	2.1398644067796613	14.028	null	null	null	null	null	null	null	null
V6	46376142	07-07-2021 20:36:12	27.20677966101695	4.89722033898305	32.104	null	null	null	null	null	null	null	null
V7	12345678	07-07-2021 21:02:38	13.613559322033899	2.450440677966102	16.064	null	null	null	null	null	La calle 13	null	David
V8	12345678	07-07-2021 21:03:59	17.016949152542374	3.0630508474576272	20.08	null	null	null	null	null	La calle 13	12345678 Mamani	David
V9	12345678	07-07-2021 21:05:18	13.613559322033899	2.450440677966102	16.064	null	null	null	null	null	La calle 13	12345678	David Mamani
V10	4656	07-07-2021 21:15:16	0.0	0.0	0.0	null	null	null	null	null	null	null	null
V11	456664	07-07-2021 21:16:29	0.0	0.0	0.0	null	null	null	null	null	null	null	null
V12	135654779	07-07-2021 21:16:59	0.0	0.0	0.0	null	null	null	null	null	null	null	null
V13	3216547875	07-07-2021 21:19:02	0.0	0.0	0.0	null	null	null	null	null	null	null	null
V14	123456	07-07-2021 21:19:18	0.0	0.0	0.0	null	null	null	null	null	null	null	null
V15	12345678	07-07-2021 21:21:09	17.016949152542374	3.0630508474576272	20.08	null	null	null	null	null	null	null	null
V16	12345678	07-07-2021 21:23:46	14.860169491525424	2.6748305084745763	17.535	null	null	null	null	null	La calle 13	12345678	David Mamani
V17	12345678	07-07-2021 21:42:37	30.599999999999998	5.507999999999999	36.108	Moda JulicaYork	Jr. Moquegua N° 775	20114459749	B00001	null	La calle 13	12345678	David Mamani
V18	12345678	07-07-2021 21:55:06	13.613559322033899	2.450440677966102	16.064	Moda JulicaYork	Jr. Moquegua N° 775	20114459749	B00001	4	La calle 13	12345678	David Mamani
V19	12345678	07-07-2021 21:58:07	0.0	0.0	0.0	Moda JulicaYork	Jr. Moquegua N° 775	20114459749	B00001	19	La calle 13	12345678	David Mamani
V20	12345678	07-07-2021 21:58:58	108.90847457627119	19.603525423728815	128.512	Moda JulicaYork	Jr. Moquegua N° 775	20114459749	B00001	20	La calle 13	12345678	David Mamani
